State,IHE_Name,Program_Title,Program_Type,Level_of_Degree,Format,Alternate_Route_to_Certification,Category_of_Credentialing,URL_for_Program
Alabama,Auburn University,Bachelor of Science in Early Childhood/Elementary Special Education,ECSE,Bachelors,In Person or Online ,No,ECSE and Special Education,https://education.auburn.edu/degree-certificate/b-s-in-early-childhoodelementary-special-education/
Alabama,Auburn University,Early Childhood/Elementary Special Education: P–6 — MEd/MS,ECSE,Masters,In Person or Online ,No,ECSE and Special Education,https://bulletin.auburn.edu/thegraduateschool/graduatedegreesoffered/specialeducationrehabilitationandcounseling_major/specialeducationearlychildhood/
Alabama,Auburn University,Early Childhood/Elementary Special Education: P–6 — MEd/MS - Alternative,ECSE,Masters,In Person or Online ,Yes,ECSE and Special Education,https://bulletin.auburn.edu/thegraduateschool/graduatedegreesoffered/specialeducationrehabilitationandcounseling_major/specialeducationearlychildhood/
Alabama,Auburn University at Montgomery,Bachelor of Science in Special Education - Early Childhood Special Education (birth-age 8),ECSE,Bachelors,In Person,No,ECSE,https://www.aum.edu/special-education/
Alabama,Auburn University at Montgomery,Alternative Master’s in Early Childhood Special Education,ECSE,Masters,In Person or Online ,Yes,ECSE,https://www.aum.edu/degree/masters-eds-collaborative-teaching/
Alabama,Auburn University at Montgomery,Traditional Master’s in Early Childhood Special Education,ECSE,Masters,In Person or Online ,No,ECSE,https://www.aum.edu/degree/masters-eds-collaborative-teaching/
Alabama,Jacksonville State University,MSE in Early Childhood Special Education P-3,ECSE,Masters,Online,No,ECSE,http://www.jsu.edu/education/ci/grad/early-childhood-special-education-masters-program-.html
Alabama,Samford University,Early Childhood/Special Education/Elementary/Collaborative (ESEC) Major (B.S.E.),Blended,Bachelors,In Person,No,Dual and Elementary Ed,https://www.samford.edu/education/early-special-and-elementary-education#introduction
Alabama,The University of Alabama,Bachelors Early Childhood Special Education,ECSE,Bachelors,In Person,No,ECSE,https://catalog.ua.edu/undergraduate/education/special-education/early-childhood-special-education/#requirementstext
Alabama,The University of Alabama,"Early Childhood Special Education (P-3) and Early Childhood (P-3) certification, Alternative Class A",ECSE,Masters,In Person,Yes,Dual,https://catalog.ua.edu/graduate/education/special-education/special-education-ma/
Alabama,The University of Alabama,"MA Special Education (Early Childhood Special Education cert.) Traditional Early Childhood Special Education (P-3), Class A",ECSE,Masters,In Person,No,ECSE,https://catalog.ua.edu/graduate/education/special-education/special-education-ma/#requirementstext
Alabama,The University of Alabama,"Special Education, Ed.S. Traditional Class AA early childhood special education",ECSE,Ed.S.,In Person,No,ECSE,https://catalog.ua.edu/graduate/education/special-education/special-education-eds/#requirementstext
Alabama,The University of Alabama at Birmingham,Alternative Master of Arts in Education in Special Education with Early Childhood Special Education Concentration,ECSE,Masters,In Person,No,ECSE,https://www.uab.edu/education/home/graduate/special-education/alt-maed-special-education-early-childhood-special-education-concentration
Alabama,The University of Alabama at Birmingham,Master of Arts in Education in Special Education with Early Childhood Special Education Concentration,ECSE,Masters,In Person,No,ECSE,https://www.uab.edu/education/home/graduate/special-education/maed-special-education-early-childhood-special-education-concentration
Alabama,The University of Alabama Huntsville,B.A. in Early Childhood and Early Childhood Special Education (P-3),Blended,Bachelors,In Person,No,Dual,https://www.uah.edu/education/departments/curriculum-and-instruction/undergraduate-programs
Arizona,Arizona State University - Tempe,Early Childhood  Education BA with Early Childhood Special Education Certificate,Dual,Certificate in conjunction with a Bachelors,In Person or Online ,No,Dual,https://degrees.apps.asu.edu/minors/major/ASU00/TEECSCERT/-early-childhood-special-education?init=false&nopassive=true#contact
Arizona,Grand Canyon University,B.S.  in Early Childhood Education and Early Childhood Special Education,Dual,Bachelors,In Person or Online ,No,Dual,https://www.gcu.edu/degree-programs/bachelor-science-early-childhood-special-education
Arizona,Grand Canyon University,M.Ed. Early Childhood Education and Early Childhood Special Education (Does not lead to Licensure),Blended,Masters,Online,No,No license,https://www.gcu.edu/degree-programs/master-education-early-childhood-special-education-non-licensure
Arizona,Grand Canyon University,M.Ed. in Early Childhood Education and Early Childhood Special Education (Licensure),Blended,Masters,Online,No,Dual,https://www.gcu.edu/degree-programs/master-education-early-childhood-special-education
Arizona,Northern Arizona University,B.S.Ed. Dual Certification in Early Childhood Education and Early Childhood Special Education,Blended,Bachelors,In Person,No,Dual,https://nau.edu/ed-specialties/special-education/bsed-early-childhood-and-special-education/
Arizona,Northern Arizona University,MED Special Education - Early Childhood Special Education with Certification,ECSE,Masters,"
Online",No,ECSE,https://catalog.nau.edu/Catalog/details?plan=SPECCTMED&catalogYear=2324
Arizona,Northern Arizona University,MED Special Education - Emphasis in ECSE (no certification),ECSE,Masters,In Person or Online ,No,No license,https://catalog.nau.edu/Catalog/details?plan=SPECCENMED&catalogYear=2324
Arizona,Prescott College,Masters of Education Degree with optional Certification - Dual ECE and ECSE Online,Dual,Masters,Online,No,Dual,https://prescott.edu/area-of-study/master-of-education-med/
Arizona,Prescott College,Post-Baccalaureate Certification - Dual ECE and ECSE Online,Dual,Post Bac. Certificate,Online,Yes,Dual,https://prescott.edu/area-of-study/early-childhood-education-certificate-3/
Arizona,Prescott College,B.A. Early Childhood Special Education,ECSE,Bachelors,In Person or Online ,No,ECSE,https://prescott.edu/area-of-study/early-childhood-special-education-ba/
Arizona,Prescott College,Early Childhood Education Post-Baccalaureate Certification - Early Childhood Special Education Track,ECSE,Post Bac. Certificate,Online,Yes,ECSE,https://prescott.edu/area-of-study/early-childhood-special-education-certificate/
Arizona,Prescott College,Master of Education in Early Childhood Special Education,ECSE,Masters,Online,No,ECSE,https://prescott.edu/area-of-study/master-of-education-early-childhood-special-education/
Arkansas,Arkansas Tech University,MSEd in Special Education: Special Ed. B-K Licensure Option,Blended,Masters,In Person or Online ,No,Blended,https://www.atu.edu/catalog/current/graduate/programs/ms_education/ms_ed_k12_special_education.php
Arkansas,Harding University,"Early Childhood/Special Education Integrated (B-K) (SPBK), MAT",Blended,Masters,In Person,Yes,Blended,https://catalog.harding.edu/preview_program.php?catoid=1&poid=141&hl=%22Early+Childhood%2FSpecial+Education+Integrated+%22&returnto=search
Arkansas,Harding University,Early Childhood/Special Education Integrated B-K Endorsement (GR),Blended,No Degree,Online,No,Blended,https://www.harding.edu/academics/colleges-departments/education/graduate-programs/graduate-education
Arkansas,Henderson State University,MAT Early Childhood/Special Education (Birth-Kindergarten): Employment Required  (Alt Route),Blended,Masters,Online,Yes,Blended,https://www.hsu.edu/academics/learning-communities/health-education-and-social-sustainability/master-of-arts-in-teaching/master-of-arts-in-teaching-special-education/
Arkansas,University of Arkansas,Birth through Kindergarten (BRKD),Blended,Bachelors,In Person,No,Blended,https://human-environmental-sciences.uark.edu/academics/undergraduate-programs/birth-kindergarten.php
Arkansas,University of Central Arkansas,Birth-Kindergarten Graduate Endorsement,Blended,Graduate Certificate,In Person,No,Blended,https://uca.edu/gbulletin/fields-of-study/special-education/#sec010302
California,American Jewish University - Los Angeles,Advanced Certificate in Special Needs in Early Childhood Education,ECSE,Post Bac. Certificate,In Person,No,No license,https://www.aju.edu/school-jewish-education-and-leadership/certificate-programs
California,California State University - San Bernardino,Internship Education Specialist Credential: Early Childhood Special Education with EL Authorization,ECSE,No Degree,In Person,Yes,ECSE,https://catalog.csusb.edu/colleges-schools-departments/education/special-education-rehabilitation-counseling/internship-education-specialist-credential-early-childhood-special-education-el-authorization/
California,California State University - San Bernardino,Master of Science in Special Education Early Childhood Special Education Comprehensive Exam Option,ECSE,Masters,In Person,No,No license,https://catalog.csusb.edu/colleges-schools-departments/education/special-education-rehabilitation-counseling/special-education-ms/
California,California State University - San Bernardino,Master of Science in Special Education Early Childhood Special Education Thesis/Project Option,ECSE,Masters,In Person,No,No license,https://catalog.csusb.edu/colleges-schools-departments/education/special-education-rehabilitation-counseling/special-education-ms/
California,California State University - San Bernardino,Preliminary Education Specialist Credential: Early Childhood Special Education with EL Authorization,ECSE,No Degree,In Person,No,ECSE,https://catalog.csusb.edu/colleges-schools-departments/education/special-education-rehabilitation-counseling/preliminary-education-specialist-credential-early-childhood-special-education-el-authorization/
California,California State University- Dominguez Hills,Early Childhood Special Education Added Authorization (ECSE AA),ECSE,Post Bac. Certificate,In Person,No,ECSE,https://catalog.csudh.edu/academics/special-education/early-childhood-special-education-authorization/
California,California State University- Dominguez Hills,Early Childhood Special Education Credential: Intern Option,ECSE,Post Bac. Certificate,In Person,No,ECSE,https://www.csudh.edu/coe/programs/special-education/
California,California State University- Dominguez Hills,Early Childhood Special Education Credential: Student Teaching Option,ECSE,Post Bac. Certificate,In Person,No,ECSE,https://www.csudh.edu/coe/programs/special-education/
California,California State University-Bakersfield,Added Authorization in Early Childhood Special Education (ECSE-AA),ECSE,Post Bac. Certificate,In Person,No,ECSE,https://www.csub.edu/specialed/sped_programs/index.html
California,California State University-Fullerton,Early Childhood Special Education Authorization,ECSE,Post Bac. Certificate,In Person,No,ECSE,Program Link
California,California State University-Fullerton,Early Childhood Special Education Credential,ECSE,No Degree,In Person,No,ECSE,https://catalog.fullerton.edu/preview_program.php?catoid=80&poid=38308&hl=%22early+childhood+special+education%22&returnto=search
California,California State University-Fullerton,"Special Education, M.S.  Early Childhood Special Education",ECSE,Masters,In Person,No,No license,https://catalog.fullerton.edu/preview_program.php?catoid=80&poid=38464
California,California State University-Los Angeles,"MA in Special Education, ECSE option",ECSE,Masters,In Person,No,ECSE,https://www.calstatela.edu/academic/ccoe/programs/ma_spedearlychildhood
California,California State University-Los Angeles,Preliminary Education Specialist Credential - Early Childhood Special Education (ECSE),ECSE,No Degree,In Person,No,ECSE,https://ecatalog.calstatela.edu/preview_program.php?catoid=73&poid=33405&hl=%22Preliminary+Education+Specialist+Credential+-+Early+Childhood+Special+Education+%28ECSE%29%22&returnto=search
California,California State University-Northridge,"M.A., Special Education, Early Childhood Special Education",ECSE,Masters,In Person,No,ECSE,https://catalog.csun.edu/academics/sped/programs/ma-special-education-ii/early-childhood-special-education/
California,California State University-Northridge,"Preliminary Education Specialist Credential, ECSE Intern Program",ECSE,Post Bac. Certificate,In Person,No,ECSE,https://www.csun.edu/eisner-education/special-education/special-education-intern-program-early-childhood-special
California,California State University-Northridge,"Preliminary Education Specialist Credential, ECSE Traditional Program",ECSE,Post Bac. Certificate,In Person,No,ECSE,https://catalog.csun.edu/academics/sped/programs/preliminary-education-specialist-instruction-credential-ii/early-childhood-special-education/
California,California State University-Northridge,Teacher Induction Education Specialist Credential,ECSE,No Degree,In Person,No,No license,https://catalog.csun.edu/academics/sped/programs/teacher-induction-education-specialist-credential-ii/early-childhood-special-education/
California,California State University-Northridge,"Transdisciplinary Intervention, Advanced Certificate",ECSE,Post Bac. Certificate,In Person,No,No license,https://www.csun.edu/eisner-education/special-education/advanced-certificate-transdisciplinary-intervention
California,California State University-Sacramento,Early Childhood Special Education - Added Authorization,ECSE,No Degree,Online,No,ECSE,https://catalog.csus.edu/colleges/education/teaching-credentials/early-childhood-special-education_added-authorization/
California,California State University-Sacramento,Master of Arts in Special Education Teaching (Education Specialist Early Childhood),ECSE,Masters,Online,No,ECSE,https://catalog.csus.edu/colleges/education/teaching-credentials/master-of-arts-in-special-education-teaching-education-specialist-early-childhood/
California,"Fresno Pacific University, Fresno",Early Childhood Special Education Preliminary Credential,ECSE,No Degree,In Person,No,ECSE,https://catalog.fresno.edu/preview_program.php?catoid=33&poid=5725&hl=Early+Childhood+Special+Education+Preliminary+Credential&returnto=search
California,Point Loma Nazarene University,Early Childhood Special Education Added Authorization,ECSE,No Degree,Online,No,ECSE,https://www.pointloma.edu/graduate-studies/programs/early-childhood-special-education-added-authorization
California,Point Loma Nazarene University,Master of Arts in Special Education,ECSE,Masters,Online,No,ECSE,https://www.pointloma.edu/graduate-studies/programs/masters-special-education
California,San Diego State University,"Child Development, Emphasis in Early Childhood Special Education Integrated Teacher Education Program (ITEP), B.S. in Applied Arts and Sciences",ECSE,Bachelors,In Person,No,ECSE,https://education.sdsu.edu/teach/itep
California,San Diego State University,Early Childhood Special Education Added Authorization,ECSE,No Degree,Online,No,ECSE,https://education2.sdsu.edu/sped/programs-of-study/early-childhood-sped-added-authorization
California,San Diego State University,"Early Childhood Special Education: Mild Moderate Disabilities and Moderate to Severe Disabilities, Clear Education Specialist Credential",ECSE,No Degree,Hybrid,No,ECSE,https://catalog.sdsu.edu/preview_program.php?catoid=9&poid=8602&returnto=808
California,San Diego State University,"Education, Special Education: Specialization in Early Childhood Concentration, M.A. Research Option (Plan A)",ECSE,Masters,In Person,No,No license,https://education2.sdsu.edu/sped/programs-of-study/masters-in-education-special-education
California,San Diego State University,"Education, Special Education: Specialization in Early Childhood Concentration, M.A. Seminar Option (Plan B)",ECSE,Masters,In Person,No,No license,https://education2.sdsu.edu/sped/programs-of-study/masters-in-education-special-education
California,San Diego State University,"Education, Special Education: Specialization in Early Childhood Concentration, M.A. Thesis Option",ECSE,Masters,In Person,No,No license,https://education2.sdsu.edu/sped/programs-of-study/masters-in-education-special-education
California,San Diego State University,Preliminary ECSE Specialization 2 Semester Option,ECSE,No Degree,In Person,No,ECSE,https://education.sdsu.edu/sped/programs-of-study/early-childhood/2-semester-early-childhood
California,San Diego State University,Preliminary ECSE Specialization 4 Semester Option,ECSE,No Degree,In Person,No,ECSE,https://education.sdsu.edu/sped/programs-of-study/early-childhood/4-semester-early-childhood
California,San Diego State University,Preliminary Education Specialist Credential: ECSE Specialization,ECSE,Masters,In Person,No,ECSE,https://catalog.sdsu.edu/preview_program.php?catoid=9&poid=8604
California,San Francisco State University,Bachelor of Arts in Child and Adolescent Development: Concentration in Early Care and Education,Blended,Bachelors,In Person,No,No license,https://bulletin.sfsu.edu/colleges/health-social-sciences/child-adolescent-development/ba-child-adolescent-development-concentration-early-care-education/#degreerequirementstext
California,San Francisco State University,Inclusive Early Childhood Practices,Blended,Graduate Certificate,In Person,No,No license,"TWO: 
https://bulletin.sfsu.edu/colleges/education/special-education/certificate-inclusive-early-childhood-practices/
https://sped.sfsu.edu/content/sfsu-graduate-certificate-early-childhood-special-education"
California,San Francisco State University,Early Childhood Special Education Credential: Special Education,ECSE,No Degree,In Person,No,ECSE,https://bulletin.sfsu.edu/colleges/education/special-education/credential-sped-early-childhood/#text
California,San Francisco State University,Preliminary Education Specialist Credential in ECSE,ECSE,Masters,In Person,No,ECSE,"TWO: 
https://ecse.sfsu.edu/content/programs-ecse
https://sped.sfsu.edu/content/early-childhood-special-education-program"
California,San Francisco State University,Preliminary Education Specialist Credential in ECSE Intern Track,ECSE,Masters,In Person,No,ECSE,"TWO:
https://sped.sfsu.edu/content/intern-credential
https://sped.sfsu.edu/content/early-childhood-special-education-program"
California,San Jose State University,Education Specialist Preliminary Teaching Credential,ECSE,No Degree,Hybrid,No,ECSE,https://newdev.sjsu.edu/specialed/academics/credentials.php#curriculum
California,San Jose State University,Preliminary Credential & MA: Early Childhood,ECSE,Masters,Hybrid,No,ECSE,https://newdev.sjsu.edu/specialed/academics/credentials.php#curriculum
California,San Jose State University,Preliminary Credential MA + ECSE,ECSE,Masters,Hybrid,No,No license,https://www.sjsu.edu/specialed/academics/credentials.php#curriculum
California,San Jose State University,Preliminary Credential with Intern Option: Early Childhood,ECSE,No Degree,Hybrid,No,ECSE,https://newdev.sjsu.edu/specialed/academics/credentials.php#curriculum
California,Sonoma State University,Early Childhood Special  Education-Added Authorization (ECSE-AA),ECSE,No Degree,In Person,No,ECSE,https://education.sonoma.edu/programs/credentials/added-authorizations/early-childhood-special-education-authorization
California,"Teachers College of San Joaquin, Stockton",Education Specialist Credential with ECSE Added Authorization,ECSE,No Degree,In Person,No,ECSE,https://teacherscollegesj.edu/adding-an-authorization/early-childhood-special-education-added-authorization/
California,"University of La Verne, La Verne",Early Childhood Special Education Added Authorization,ECSE,No Degree,In Person,No,ECSE,https://laverne.edu/programs/early-childhood-special-education-added-authorization/
California,University of Massachusetts Global,"Added Authorization, Early Childhood Special Education",ECSE,No Degree,Online,No,ECSE,https://www.umassglobal.edu/academic-programs/education/early-childhood-special-education-added-authorization
California,University of Massachusetts Global,"MA in Special Education, Early Childhood Special Education",ECSE,Masters,Hybrid or Online,No,No license,https://www.umassglobal.edu/academic-programs/education/ma-in-special-education-early-childhood
California,University of Massachusetts Global,"MA in Teaching, Preliminary ECSE Credential",ECSE,Post Bac. Certificate,Hybrid or Online,No,ECSE,https://www.umassglobal.edu/academic-programs/education/mat-with-preliminary-early-childhood-education-specialist-credential
Colorado,Colorado Mesa University,"Early Childhood Special Education, Early Childhood Education (BA)",Blended,Bachelors,In Person,No,Dual,https://www.coloradomesa.edu/teacher-education/undergraduate/special-education.html
Colorado,University of Colorado Colorado Springs,BACHELOR OF ARTS IN INCLUSIVE EARLY CHILDHOOD EDUCATION,Blended,Bachelors,"Hybrid, In Person, or Online",Yes,Dual,https://coe.uccs.edu/teaching-and-learning/bachelor-of-arts-in-inclusive-early-childhood-education
Colorado,University of Colorado Colorado Springs,Grad Cert Inclusive Early Childhood Ed,Blended,Graduate Certificate,"Hybrid, In Person, or Online",Yes,Dual,https://coe.uccs.edu/degrees-and-programs/certificates-and-endorsements/inclusive-early-childhood-education-certificate
Colorado,University of Colorado Denver/Anschutz Medical Campus,Early Childhood Special Education Specialist License,ECSE,No Degree,Hybrid or Online,No,ECSE,https://education.ucdenver.edu/academics/online/detail/Early-Childhood-Special-Education-Specialist-License
Colorado,University of Colorado Denver/Anschutz Medical Campus,"Endorsement, Early Childhood Special Education Specialist",ECSE,No Degree,Hybrid or Online,No,ECSE,https://education.ucdenver.edu/academics/online/detail/Early-Childhood-Special-Education-Endorsement
Colorado,University of Colorado Denver/Anschutz Medical Campus,"Endorsement, ELEVATE Early Childhood Special Education",ECSE,No Degree,Online,No,ECSE,https://education.ucdenver.edu/academics/online/detail/endorsement-elevate-early-childhood-special-education
Colorado,University of Colorado Denver/Anschutz Medical Campus,"Master of Arts in Early Childhood Education, Early Childhood Special Education Specialist (License)",ECSE,Masters,"Hybrid, In Person, or Online",No,ECSE,https://education.ucdenver.edu/academics/online/detail/early-childhood-education-ma-with-early-childhood-special-education-specialist-license
